Peter Sugar|Where are you?|I've just been looking somewhere
Stacey Duley|Plans for approval|Last night I was thinking about
Annie Eaton|Call me back?|Lori, Martin is asking about you could you please
Marcus|Urgent - NDA for signing|Hi Lori, please find attached the revised NDA. It would be great if you could print, sign and send back ASAP
Nancy L. [Kavital HR]|Unplanned Leave of Absence|Dear Lori, Nancy from HR. I hear no-one from the company has been able to get in touch with you recently
Air France|Booking Confirmation - KL 3916|Thank you for your recent purchase. Please keep this as your booking confirmation. Have a nice trip!
Eric Phelps|Please call back|Hi Lori, I've been unable to reach you. Please write back ASAP, we need to talk.
Ben Fouad|Re: Concerns|I think marketing was trying to engage the press in anticipation for the launch, I wouldn't acribe their comms to malice
John Flanagan|Re: Compliance testing results|I understand Lori, that's fine. It's looking good otherwise on our end.
W.Earl Oak|Thank You!|Lori, I would like to express my gratitude for all the work you've put in the project. I hope you are not planning on leaving us
Tommaso Lanza|Mark my words|This is going to be great. I met Jakub the other day and he told me about the product.
Bene|Vibration tests results|Hi Lory, we successfully tested the prototype on some of our new products
Air France|Online Check-in reminder|Dear Lori, Thank you for choosing Air France. This is a reminder to check-in online by tomorrow, 4pm
Air France|Maldives. Where to go, what to do.|Thank you for flying with Air France, here's some tips for your upcoming trip to the Maldives.
Annie Eaton|Re: Call me back?|Lori?? Where the hell are you? Can't reach you on your phone or email
Rob Green|Fwd: Compliance testing results|This is NOT WORKING! Lori this is urgent, we need to fix ASAP
Arthur C|Invoice for KL-R 2Ks|Dear Lori, thank you for you order. Please find attached the invoice for you recent purchase.
RX Industries|Re: Parts requested|See attached schematics. I hope it will help. Give a call if not.
Pine Street Counseling|Appt confirmation|Dear Lori, i am please to confirm your appointment for next week.
Test Rigs UK Ltd|We received your complaint|Dear Lori, We are sorry to hear our kit didn't satisfy your needs.
